ts,satellite_count,average_snr,average_snr_change,snr_zero_count,snr_zero_change,inside_outside
122545,20,5,1,12,-2,1
122548,20,8,3,11,-1,1
122551,20,12,4,9,-2,1
122554,20,20,8,6,-3,0
122557,20,32,12,1,-5,0
122600,21,36,4,0,-1,0
122603,20,37,1,0,0,0
122606,20,38,1,0,0,0
122609,20,36,-2,0,0,0
122612,20,38,2,0,0,0
122615,20,40,2,0,0,0
122618,20,40,0,0,0,0
122621,20,38,-2,0,0,0
122624,20,40,2,0,0,0
122627,20,42,2,0,0,0
122630,20,41,-1,0,0,0
122633,20,41,0,0,0,0
122636,20,40,-1,0,0,0
122639,20,40,0,0,0,0
122642,20,40,0,0,0,0
122645,20,39,-1,0,0,0
122648,20,38,-1,0,0,0
122651,20,30,-8,0,0,0
122654,20,28,-2,0,0,0
122657,20,29,1,0,0,0
122700,20,34,5,0,0,1
122703,20,30,-4,0,0,1
122706,20,23,-7,0,0,1
122709,20,20,-3,0,0,1
122712,20,17,-3,1,1,1
122715,20,12,-5,4,3,1
122718,20,9,-3,5,1,1
122721,20,5,-4,11,6,1
122724,20,3,-2,13,2,1
122727,20,2,-1,15,2,1
122730,20,1,-1,18,3,1
122733,20,1,0,17,-1,1
122736,20,1,0,17,0,1
122739,20,1,0,18,1,1
122742,19,1,0,18,0,1
122745,19,1,0,17,-1,1
122748,19,1,0,17,0,1
122751,19,1,0,16,-1,1
122754,19,1,0,17,1,1
122757,19,1,0,17,0,1
122800,19,0,-1,18,1,1
122803,19,3,3,15,-3,1
122806,19,3,0,15,0,1
122809,19,2,-1,15,0,1
122812,19,2,0,15,0,1
122815,19,0,-2,18,3,1
122818,19,2,2,16,-2,1
122821,19,0,-2,18,2,1
122824,19,1,1,18,0,1
122827,19,1,0,18,0,1
122830,19,0,-1,19,1,1
122833,19,1,1,18,-1,1
122836,19,6,5,14,-4,1
122839,19,15,9,8,-6,1
122842,19,24,9,4,-4,0
122845,19,34,10,0,-4,0
122848,20,37,3,0,0,0
122851,20,38,1,0,0,0
122854,20,40,2,0,0,0
122857,20,39,-1,0,0,0
122900,20,40,1,0,0,0
122903,20,40,0,0,0,0
122906,20,40,0,0,0,0
122909,20,40,0,0,0,0
122912,20,40,0,0,0,0
122915,20,40,0,0,0,0
122918,20,39,-1,1,1,0
122921,20,38,-1,1,0,0
122924,20,40,2,0,-1,0
122927,20,40,0,0,0,0
122930,20,38,-2,0,0,0
122933,20,39,1,0,0,0
122936,20,37,-2,0,0,0
122939,20,29,-8,0,0,0
122942,20,28,-1,0,0,0
122945,20,32,4,0,0,0
122948,20,34,2,0,0,0
122951,20,26,-8,0,0,1
122954,20,21,-5,0,0,1
122957,20,20,-1,0,0,1
123000,20,11,-9,4,4,1
123003,20,8,-3,5,1,1
123006,20,6,-2,7,2,1
123009,20,3,-3,13,6,1
123012,20,2,-1,15,2,1
123015,20,1,-1,16,1,1
123018,20,1,0,18,2,1
123021,20,2,1,17,-1,1
123024,20,3,1,15,-2,1
123027,20,2,-1,16,1,1
123030,20,2,0,16,0,1
123033,20,1,-1,16,0,1
123036,20,1,0,18,2,1
123039,19,0,-1,18,0,1
123042,19,1,1,18,0,1
123045,19,0,-1,18,0,1
123048,19,2,2,14,-4,1
123051,19,1,-1,16,2,1
123054,19,1,0,16,0,1
123057,19,2,1,16,0,1
123100,19,3,1,15,-1,1
123103,19,1,-2,17,2,1
123106,19,1,0,17,0,1
123109,19,1,0,16,-1,1
123112,19,1,0,17,1,1
123115,19,2,1,15,-2,1
123118,19,1,-1,17,2,1
123121,19,3,2,15,-2,1
123124,19,2,-1,15,0,1
123127,19,2,0,15,0,1
123130,19,6,4,12,-3,1
123133,19,11,5,10,-2,1
123136,19,15,4,10,0,1
123139,19,27,12,3,-7,0
123142,19,34,7,0,-3,0
123145,20,37,3,0,0,0
123148,20,40,3,0,0,0
123151,20,40,0,0,0,0
123154,20,40,0,0,0,0
123157,20,39,-1,0,0,0
123200,20,40,1,0,0,0
123203,20,41,1,0,0,0
123206,20,41,0,0,0,0
123209,20,40,-1,0,0,0
123212,20,40,0,0,0,0
123215,20,40,0,0,0,0
123218,20,39,-1,0,0,0
123221,20,38,-1,0,0,0
123224,20,29,-9,0,0,0
123227,20,32,3,0,0,0
123230,20,36,4,0,0,0
123233,20,35,-1,0,0,0
123236,21,33,-2,0,0,0
123239,21,34,1,1,1,0
123242,21,31,-3,1,0,0
123245,21,29,-2,0,-1,0
123248,21,33,4,0,0,0
123251,21,38,5,0,0,0
123254,20,35,-3,0,0,0
123257,20,28,-7,0,0,0
123300,20,32,4,0,0,0
123303,20,36,4,0,0,0
123306,20,36,0,0,0,0
123309,20,34,-2,0,0,0
123312,20,32,-2,1,1,0
123315,20,27,-5,1,0,0
123318,20,31,4,0,-1,0
123321,20,34,3,0,0,0
123324,20,33,-1,0,0,0
123327,20,27,-6,0,0,0
123330,20,26,-1,0,0,0
123333,20,27,1,0,0,0
123336,20,32,5,0,0,0
123339,20,31,-1,0,0,1
123342,20,23,-8,0,0,1
123345,20,20,-3,0,0,1
123348,20,16,-4,1,1,1
123351,20,11,-5,5,4,1
123354,20,9,-2,5,0,1
123357,20,5,-4,11,6,1
123400,20,4,-1,13,2,1
123403,20,3,-1,14,1,1
123406,20,3,0,14,0,1
123409,20,3,0,14,0,1
123412,20,2,-1,16,2,1
123415,20,2,0,16,0,1
123418,19,2,0,15,-1,1
123421,19,3,1,13,-2,1
123424,19,3,0,14,1,1
123427,20,2,-1,16,2,1
123430,20,2,0,16,0,1
123433,20,1,-1,17,1,1
123436,20,2,1,17,0,1
123439,20,3,1,16,-1,1
123442,20,4,1,16,0,1
123445,20,4,0,16,0,1
123448,20,4,0,17,1,1
123451,20,4,0,17,0,1
123454,20,7,3,16,-1,1
123457,20,21,14,4,-12,0
123500,20,32,11,1,-3,0
123503,21,35,3,1,0,0
123506,21,37,2,1,0,0
123509,21,38,1,1,0,0
123512,21,38,0,1,0,0
123515,21,39,1,1,0,0
123518,21,38,-1,1,0,0
123521,21,39,1,1,0,0
123524,21,39,0,1,0,0
123527,21,39,0,1,0,0
123530,21,38,-1,1,0,0
123533,21,38,0,1,0,0
123536,21,38,0,1,0,0
123539,21,37,-1,1,0,0
123542,21,35,-2,1,0,0
123545,21,29,-6,1,0,0
123548,21,33,4,1,0,0
123551,22,34,1,1,0,0
123554,22,34,0,1,0,0
123557,22,33,-1,1,0,0
123600,22,31,-2,1,0,0
123603,22,32,1,2,1,0
123606,22,31,-1,2,0,0
123609,22,29,-2,3,1,0
123612,22,29,0,3,0,0
123615,23,29,0,3,0,0
123618,23,30,1,2,-1,0
123621,23,29,-1,2,0,0
123624,23,29,0,2,0,0
123627,23,29,0,2,0,0
123630,23,29,0,2,0,0
123633,23,29,0,2,0,0
123636,23,29,0,2,0,0
123639,23,29,0,2,0,0
123642,23,31,2,2,0,0
123645,23,29,-2,2,0,0
123648,23,27,-2,2,0,0
123651,23,25,-2,2,0,0
123654,23,24,-1,1,-1,0
123657,23,28,4,1,0,0
123700,23,30,2,1,0,0
123703,23,33,3,1,0,0
123706,22,34,1,1,0,0
123709,22,33,-1,1,0,0
123712,22,32,-1,2,1,0
123715,22,26,-6,2,0,0
123718,22,26,0,1,-1,0
123721,22,29,3,1,0,0
123724,21,33,4,1,0,0
123727,21,34,1,1,0,0
123730,21,35,1,1,0,0
123733,21,34,-1,2,1,0
123736,21,36,2,1,-1,0
123739,21,35,-1,1,0,0
123742,21,36,1,1,0,0
123745,21,36,0,1,0,0
123748,21,35,-1,1,0,0
123751,21,36,1,2,1,0
123754,21,35,-1,1,-1,0
123757,21,34,-1,1,0,0
123800,21,32,-2,1,0,0
123803,21,31,-1,1,0,0
123806,21,31,0,1,0,0
123809,21,31,0,1,0,0
123812,21,31,0,1,0,0
123815,21,31,0,2,1,0
123818,21,33,2,1,-1,0
123821,21,35,2,2,1,0
123824,21,37,2,1,-1,0
123827,21,37,0,1,0,0
123830,21,36,-1,1,0,0
123833,21,36,0,1,0,0
123836,21,30,-6,1,0,1
123839,21,28,-2,1,0,1
123842,21,23,-5,1,0,1
123845,21,19,-4,2,1,1
123848,21,16,-3,2,0,1
123851,21,14,-2,3,1,1
123854,21,13,-1,4,1,1
123857,21,11,-2,8,4,1
123900,21,10,-1,11,3,1
123903,21,10,0,10,-1,1
123906,21,6,-4,12,2,1
123909,21,5,-1,13,1,1
123912,21,4,-1,12,-1,1
123915,21,4,0,14,2,1
123918,21,3,-1,15,1,1
123921,21,2,-1,15,0,1
123924,20,1,-1,17,2,1
123927,20,2,1,16,-1,1
123930,20,2,0,16,0,1
123933,20,2,0,16,0,1
123936,20,5,3,12,-4,1
123939,20,5,0,13,1,1
123942,20,6,1,14,1,1
123945,20,18,12,6,-8,0
123948,20,25,7,2,-4,0
123951,20,23,-2,6,4,0
123954,20,30,7,2,-4,0
123957,20,31,1,2,0,0
124000,20,34,3,1,-1,0
124003,20,34,0,1,0,0
124006,21,33,-1,3,2,0
124009,21,35,2,2,-1,0
124012,21,34,-1,3,1,0
124015,21,35,1,2,-1,0
124018,21,36,1,2,0,0
124021,21,37,1,1,-1,0
124024,21,37,0,1,0,0
124027,21,36,-1,1,0,0
124030,21,31,-5,1,0,0
124033,21,26,-5,1,0,1
124036,21,24,-2,1,0,1
124039,21,22,-2,1,0,1
124042,21,19,-3,2,1,1
124045,21,16,-3,3,1,1
124048,21,13,-3,6,3,1
124051,21,13,0,6,0,1
124054,21,8,-5,10,4,1
124057,21,5,-3,13,3,1
124100,21,6,1,10,-3,1
124103,21,4,-2,12,2,1
124106,21,4,0,14,2,1
124109,21,4,0,14,0,1
124112,21,3,-1,16,2,1
124115,21,4,1,16,0,1
124118,21,9,5,11,-5,1
124121,21,9,0,10,-1,1
124124,21,7,-2,10,0,1
124127,21,7,0,9,-1,1
124130,21,5,-2,10,1,1
124133,21,3,-2,13,3,1
124136,21,2,-1,15,2,1
124139,21,2,0,18,3,1
124142,21,2,0,17,-1,1
124145,21,2,0,17,0,1
124148,21,2,0,17,0,1
124151,20,3,1,16,-1,1
124154,20,3,0,15,-1,1
124157,20,2,-1,17,2,1
124200,20,4,2,15,-2,1
124203,20,6,2,12,-3,1
124206,20,12,6,9,-3,0
124209,20,24,12,4,-5,0
124212,20,28,4,2,-2,0
124215,20,31,3,3,1,0
124218,20,33,2,2,-1,0
124221,21,34,1,2,0,0
124224,21,34,0,3,1,0
124227,21,36,2,1,-2,0
124230,21,36,0,1,0,0
124233,21,36,0,1,0,0
124236,21,36,0,2,1,0
124239,21,36,0,1,-1,0
124242,21,36,0,1,0,0
124245,21,29,-7,0,-1,0
124248,21,26,-3,1,1,1
124251,21,24,-2,1,0,1
124254,21,21,-3,1,0,1
124257,21,19,-2,1,0,1
124300,21,15,-4,5,4,1
124303,21,13,-2,6,1,1
124306,21,13,0,6,0,1
124309,21,9,-4,7,1,1
124312,21,6,-3,12,5,1
124315,21,5,-1,12,0,1
124318,21,4,-1,13,1,1
124321,21,2,-2,16,3,1
124324,21,3,1,16,0,1
124327,21,3,0,17,1,1
124330,21,7,4,13,-4,1
124333,21,7,0,13,0,1
124336,21,7,0,12,-1,1
124339,21,6,-1,13,1,1
124342,21,5,-1,13,0,1
124345,21,3,-2,14,1,1
124348,21,2,-1,14,0,1
124351,21,1,-1,17,3,1
124354,21,1,0,18,1,1
124357,20,1,0,19,1,1
124400,20,0,-1,19,0,1
124403,20,0,0,19,0,1
124406,20,1,1,19,0,1
124409,20,0,-1,19,0,1
124412,20,1,1,19,0,1
124415,20,0,-1,20,1,1
124418,20,0,0,20,0,1
124421,20,0,0,20,0,1
124424,20,0,0,20,0,1
124427,20,0,0,20,0,1
124430,20,0,0,20,0,1
124433,20,0,0,20,0,1
124436,20,0,0,20,0,1
124439,20,0,0,20,0,1
124442,20,0,0,20,0,1
124445,20,0,0,20,0,1
124448,20,0,0,20,0,1
124451,20,0,0,20,0,1
124454,20,0,0,20,0,1
124457,20,0,0,20,0,1
124500,20,0,0,20,0,0
124503,20,0,0,20,0,0
124506,21,17,17,12,-8,0
124509,21,28,11,4,-8,0
124512,21,30,2,2,-2,0
124515,21,31,1,2,0,0
124518,21,31,0,2,0,0
124521,21,30,-1,2,0,0
124524,21,36,6,1,-1,0
124527,21,35,-1,1,0,0
124530,21,36,1,1,0,0
124533,21,36,0,1,0,0
124536,21,35,-1,1,0,0
124539,21,30,-5,1,0,0
124542,21,28,-2,0,-1,0
124545,22,33,5,0,0,0
124548,22,37,4,0,0,0
124551,22,37,0,0,0,0
124554,22,36,-1,0,0,0
124557,22,37,1,0,0,0
124600,22,36,-1,0,0,0
124603,22,35,-1,0,0,0
124606,22,31,-4,1,1,0
124609,22,35,4,0,-1,0
124612,22,35,0,1,1,0
124615,22,35,0,1,0,0
124618,22,35,0,1,0,0
124621,22,37,2,0,-1,0
124624,22,36,-1,0,0,0
124627,22,36,0,0,0,0
124630,22,36,0,0,0,0
124633,22,38,2,0,0,0
124636,22,37,-1,0,0,0
124639,22,38,1,0,0,0
124642,22,37,-1,0,0,0
124645,22,38,1,0,0,0
124648,22,38,0,0,0,0
124651,22,39,1,0,0,0
124654,22,37,-2,0,0,0
124657,22,34,-3,0,0,0
124700,22,36,2,0,0,0
124703,22,36,0,0,0,0
124706,22,36,0,0,0,0
124709,22,34,-2,1,1,0
124712,22,36,2,0,-1,0
124715,22,33,-3,0,0,0
124718,22,35,2,0,0,0
124721,22,32,-3,1,1,0
124724,22,33,1,1,0,0
124727,21,34,1,1,0,0
124730,21,31,-3,1,0,0
124733,21,33,2,1,0,0
124736,21,32,-1,1,0,1
124739,21,23,-9,1,0,1
124742,21,20,-3,1,0,1
124745,21,18,-2,1,0,1
124748,21,16,-2,1,0,1
124751,21,14,-2,3,2,1
124754,21,12,-2,4,1,1
124757,21,11,-1,6,2,1
124800,21,9,-2,8,2,1
124803,21,10,1,7,-1,1
124806,21,9,-1,9,2,1
124809,21,10,1,10,1,0
124812,21,20,10,5,-5,0
124815,21,29,9,4,-1,0
124818,21,34,5,1,-3,0
124821,21,33,-1,1,0,0
124824,21,32,-1,1,0,0
124827,21,32,0,1,0,0
124830,21,32,0,1,0,0
124833,21,29,-3,1,0,1
124836,21,21,-8,2,1,1
124839,21,18,-3,2,0,1
124842,21,15,-3,3,1,1
124845,21,14,-1,3,0,1
124848,21,12,-2,5,2,1
124851,21,12,0,5,0,1
124854,21,11,-1,7,2,1
124857,21,9,-2,8,1,1
124900,21,8,-1,9,1,1
124903,21,8,0,11,2,1
124906,21,11,3,9,-2,0
124909,21,21,10,4,-5,0
124912,20,27,6,3,-1,0
124915,21,30,3,2,-1,0
124918,21,31,1,2,0,0
124921,21,31,0,1,-1,0
124924,21,34,3,1,0,0
124927,21,34,0,1,0,0
124930,21,34,0,1,0,0
124933,21,31,-3,1,0,0
124936,21,33,2,1,0,1
124939,21,31,-2,1,0,1
124942,21,25,-6,1,0,1
124945,21,21,-4,1,0,1
124948,21,17,-4,2,1,1
124951,21,14,-3,5,3,1
124954,21,14,0,6,1,1
124957,21,14,0,4,-2,1
125000,21,13,-1,5,1,1
125003,21,13,0,4,-1,1
125006,21,11,-2,5,1,1
125009,21,10,-1,7,2,1
125012,21,8,-2,9,2,1
125015,21,8,0,10,1,1
125018,21,12,4,8,-2,0
125021,21,16,4,7,-1,0
125024,21,26,10,4,-3,0
125027,21,30,4,2,-2,0
125030,21,33,3,1,-1,0
125033,20,34,1,1,0,0
125036,20,30,-4,2,1,0
125039,20,34,4,1,-1,0
125042,21,35,1,1,0,0
125045,21,34,-1,1,0,0
125048,21,36,2,1,0,0
125051,21,36,0,2,1,0
125054,21,36,0,2,0,0
125057,21,36,0,2,0,0
125100,21,38,2,1,-1,0
125103,22,37,-1,1,0,0
125106,22,37,0,1,0,0
125109,22,36,-1,1,0,0
125112,22,36,0,1,0,0
125115,22,36,0,1,0,0
125118,22,35,-1,1,0,0
125121,22,35,0,1,0,0
125124,22,34,-1,1,0,0
125127,22,31,-3,1,0,1
125130,22,26,-5,1,0,1
125133,22,22,-4,1,0,1
125136,22,20,-2,1,0,1
125139,22,17,-3,3,2,1
125142,22,17,0,3,0,1
125145,22,15,-2,6,3,1
125148,22,15,0,6,0,1
125151,22,13,-2,7,1,1
125154,22,13,0,7,0,1
125157,22,14,1,6,-1,1
125200,22,16,2,6,0,1
125203,22,17,1,5,-1,1
125206,22,17,0,4,-1,1
125209,22,17,0,4,0,1
125212,22,17,0,4,0,1
125215,22,17,0,4,0,1
125218,22,17,0,5,1,1
125221,22,18,1,6,1,1
125224,22,18,0,5,-1,1
125227,22,20,2,5,0,0
125230,22,27,7,3,-2,0
125233,22,33,6,2,-1,0
125236,22,34,1,2,0,0
125239,22,34,0,2,0,0
125242,21,37,3,1,-1,0
125245,22,38,1,1,0,0
125248,22,37,-1,1,0,0
125251,22,36,-1,2,1,0
125254,22,36,0,1,-1,0
125257,22,35,-1,1,0,0
125300,22,35,0,2,1,0
125303,22,35,0,2,0,0
125306,22,35,0,2,0,0
125309,22,34,-1,2,0,0
125312,22,30,-4,2,0,1
125315,22,24,-6,2,0,1
125318,22,21,-3,2,0,1
125321,22,19,-2,2,0,1
125324,22,18,-1,3,1,1
125327,22,17,-1,3,0,1
125330,22,16,-1,4,1,1
125333,22,14,-2,5,1,1
125336,22,13,-1,6,1,1
125339,22,14,1,6,0,1
125342,22,15,1,6,0,1
125345,22,15,0,7,1,1
125348,22,16,1,6,-1,1
125351,22,16,0,6,0,1
125354,22,15,-1,6,0,1
125357,22,17,2,4,-2,1
125400,22,16,-1,4,0,1
125403,22,17,1,3,-1,1
125406,22,18,1,4,1,1
125409,22,18,0,3,-1,1
125412,22,18,0,4,1,1
125415,22,19,1,6,2,0
125418,22,28,9,3,-3,0
125421,22,34,6,1,-2,0
125424,22,35,1,1,0,0
125427,22,36,1,1,0,0
125430,22,36,0,1,0,0
125433,22,35,-1,1,0,0
125436,22,36,1,1,0,0
125439,22,35,-1,1,0,0
125442,21,36,1,0,-1,0
125445,21,35,-1,1,1,0
125448,21,35,0,1,0,0
125451,21,34,-1,1,0,1
125454,21,27,-7,1,0,1
125457,21,23,-4,2,1,1
125500,21,22,-1,2,0,1
125503,21,20,-2,2,0,1
125506,21,18,-2,2,0,1
125509,21,16,-2,4,2,1
125512,20,16,0,4,0,1
125515,20,15,-1,4,0,1
125518,20,16,1,3,-1,1
125521,20,17,1,3,0,1
125524,20,18,1,3,0,1
125527,20,18,0,2,-1,1
125530,20,18,0,2,0,1
125533,20,18,0,3,1,1
125536,20,18,0,2,-1,1
125539,20,18,0,3,1,1
125542,20,19,1,3,0,1
125545,20,20,1,3,0,1
125548,20,20,0,4,1,1
125551,20,21,1,2,-2,1
125554,20,26,5,1,-1,0
125557,20,35,9,1,0,0
125600,20,39,4,0,-1,0
125603,20,38,-1,0,0,0
125606,19,40,2,0,0,0
125609,20,38,-2,0,0,0
125612,20,36,-2,0,0,0
125615,20,36,0,0,0,0
125618,20,36,0,0,0,0
125621,20,35,-1,0,0,0
125624,20,36,1,0,0,0
125627,20,33,-3,2,2,0
125630,20,32,-1,1,-1,0
125633,20,24,-8,2,1,0
125636,20,32,8,0,-2,0
125639,20,36,4,0,0,0
125642,20,36,0,0,0,0
125645,20,36,0,0,0,0
125648,20,35,-1,0,0,0
125651,20,36,1,0,0,0
125654,20,35,-1,0,0,0
125657,19,36,1,0,0,0
125700,19,36,0,0,0,0
125703,19,33,-3,1,1,0
125706,19,32,-1,2,1,0
125709,19,34,2,1,-1,0
125712,19,31,-3,1,0,0
125715,19,32,1,2,1,0
125718,19,34,2,0,-2,0
125721,19,36,2,0,0,0
125724,19,34,-2,0,0,0
125727,19,37,3,0,0,0
125730,19,37,0,0,0,0
125733,19,37,0,0,0,0
125736,19,28,-9,1,1,0
125739,19,28,0,0,-1,0
125742,19,36,8,0,0,0
125745,19,37,1,0,0,0
125748,19,38,1,0,0,0
125751,19,37,-1,1,1,0
125754,19,37,0,1,0,0
125757,19,37,0,1,0,0
125800,19,35,-2,1,0,0
125803,19,36,1,0,-1,0
125806,19,33,-3,0,0,0
125809,19,26,-7,0,0,0
125812,19,26,0,0,0,0
125815,19,37,11,0,0,0
125818,19,38,1,0,0,0
125821,19,39,1,0,0,0
125824,19,38,-1,0,0,0
125827,19,39,1,0,0,0
125830,19,39,0,0,0,0
125833,20,37,-2,2,2,0
125836,20,36,-1,2,0,0
125839,20,36,0,1,-1,0
125842,20,36,0,1,0,0
125845,20,37,1,1,0,0
125848,20,36,-1,2,1,0
125851,20,36,0,2,0,0
125854,20,35,-1,1,-1,0
125857,20,33,-2,0,-1,0
125900,20,27,-6,0,0,0
125903,20,27,0,0,0,0
125906,21,37,10,0,0,0
125909,21,38,1,0,0,0
125912,22,39,1,0,0,0
125915,22,39,0,0,0,0
125918,22,38,-1,1,1,0
125921,22,39,1,1,0,0
125924,22,40,1,0,-1,0
125927,22,40,0,0,0,0
125930,22,40,0,0,0,0
125933,22,40,0,0,0,0
125936,22,40,0,0,0,0
125939,22,39,-1,0,0,0
125942,22,40,1,0,0,0
125945,22,41,1,0,0,0
125948,23,38,-3,1,1,0
125951,23,38,0,1,0,0
125954,23,38,0,1,0,0
125957,23,38,0,1,0,0
130000,23,38,0,1,0,0
130003,23,38,0,1,0,0
130006,23,37,-1,2,1,0
130009,23,38,1,2,0,0
130012,23,38,0,1,-1,0
130015,23,38,0,1,0,0
130018,23,38,0,1,0,0
130021,23,39,1,1,0,0
130024,23,38,-1,1,0,0
130027,23,38,0,1,0,0
130030,23,38,0,1,0,0
130033,23,38,0,1,0,0
130036,23,38,0,1,0,0
130039,23,38,0,1,0,0
130042,23,38,0,1,0,0
130045,23,39,1,1,0,0
130048,23,38,-1,1,0,0
130051,23,37,-1,1,0,0
130054,23,35,-2,2,1,0
130057,23,36,1,1,-1,0
130100,23,36,0,1,0,0
130103,23,36,0,1,0,0
130106,23,35,-1,1,0,0
130109,23,35,0,1,0,0
130112,23,35,0,1,0,0
